id, 10, 100, 1000, 10000, 100000, 1000000, 10000000
82,15330,99607,936190,9209586,88140180,854669081,879190084,
83,15093,107333,955358,9442863,87892911,856677092,871971303,
84,41250,102395,952344,9432130,87437617,851655695,869179882,
85,15282,104088,1733588,9386744,89158375,866988515,861123586,
86,13839,101812,951497,9755343,86950845,864000672,872719722,
87,14076,101008,2688214,9300529,88750665,866166786,861325232,
88,13517,101762,995477,9268652,90356010,842589426,886363528,
89,13859,97049,1043886,9702284,89997303,849201331,849446068,
90,14117,102448,960293,9451080,89529280,860050222,877707377,
91,14833,103010,958332,9311614,87379586,852211746,869934513,
92,15087,108241,967756,9385800,90492377,855764665,866168945,
93,15762,99141,944661,9683262,87681390,851442503,867920880,
94,19859,102173,951094,9226527,85812168,841981339,870309614,
95,14855,103302,974203,9329059,88111315,829173992,867824752,
96,15626,102630,945814,9589927,87588224,848332562,857546892,
97,14144,103252,958376,9290647,89316662,851607240,864821156,
98,14208,102168,946048,9563926,88418304,849838205,865193317,
99,14587,106325,960942,9222010,87606532,843235830,873668752,
